University,Department,Overall Pay,LW Ratio,Academic Year,Program Year,12 M Gross Pay,9 M Gross Pay,3 M Gross Pay,Fees,Comments
Washington University in St. Louis (Wash U),Earth and Planetary Sciences,"$34,500",1.67,2022-2023,4th,"$35,000",,,$500,
University of California - Santa Barbara (UCSB),Computer Science,"$27,000",1.03,2022-2023,2nd,"$27,000",,,,
University of California - Berkeley,EPS,"$43,000",1.55,2022-2023,4th,"$43,000",,,,
University of California - Santa Barbara (UCSB),Interdepartmental Graduate Program in Marine Science,"$33,246",1.27,2022-2023,1st,,"$23,246","$10,000",,"$23,246 for 9 months and guaranteed $10,000 summer salary for at least the first year. Includes insurance, fees and tuition are covered"
University of Wisconsin - Madison (UW),Chemistry ,"$27,392",1.20,2022-2023,2nd,"$29,192",,,"$1,800",
University of California - San Diego (UCSD),Scripps Institution of Oceanography,"$34,000",1.28,2022-2023,3rd,"$34,000",,,,
University of California - Santa Barbara (UCSB),Biological Engineering,"$36,000",1.37,2022-2023,1st,"$36,000",,,,
Michigan State University (MSU),Chemistry,"$28,208",1.38,2022-2023,4th,"$28,208",,,,
University of Pennsylvania,Chemistry,"$37,000",1.53,2022-2023,5th,"$37,000",,,,
University of California - San Diego (UCSD),Scripps Institution of Oceanogrpahy (SIO),"$34,985",1.32,2022-2023,4th,"$35,000",,,$15,"Full tuition remission, healthcare, vision, and dental. "
University of California - San Diego (UCSD),Scripps Institution of Oceanogrpahy (SIO),"$34,985",1.32,2022-2023,4th,"$35,000",,,$15,"Full tuition remission, healthcare, vision, and dental. "
Texas A&amp;M; University - College Station,Kinesiology & Sports Management,"$21,000",,2022-2023,5th,,"$15,750","$5,250",,
University of California - Davis (UCD),Physics,"$27,400",1.14,2022-2023,,"$28,000",,,$600,
University of Oregon (UO),Earth Sciences,"$24,000",1.14,2022-2023,4th,"$24,000",,,,
University of Virginia (UVA),Materials Science,"$29,853",1.31,2022-2023,3rd,"$29,853",,,,"Standard annual stipends are:
28083 starting pay
30083 after passing qualifying exam
31083 after passing dissertation proposal

All graduate students received a 7% ""cost of living increase"" raise starting summer of 2022. I receive an additional internal fellowship. Health insurance (excluding dental) is provided at no cost."
University of Oregon (UO),Earth Sciences,"$27,506",1.31,2022-2023,4th,"$27,689",,,$183,
University of Oregon (UO),Earth Sciences,"$27,507",1.31,2022-2023,4th,"$27,690",,,$183,
University of Oregon (UO),Earth Sciences,"$23,817",1.14,2022-2023,4th,,"$24,000",,$183,
Medical College of Wisconsin,"Cell Biology, Neurobiology and Anatomy / Neuroscience Doctoral Program","$31,700",1.48,2022-2023,4th,"$31,700",,,,
Pennsylvania State University (Penn State),BMMB,"$31,320",1.39,2022-2023,2nd,"$31,320",,,,
University of Pennsylvania,biomedical graduate studies,"$37,000",1.53,2022-2023,,"$37,000",,,,
Brown University,Biomedical Engineering,"$42,000",1.85,2022-2023,1st,"$42,000",,,,
,Physics,$904,,2022-2023,2nd,,"$1,804",,$900,"1040 for medical insurance per semester.
For Summer they have limited TA positions. You may get RA if your supervisor has fundings. "
California Institute of Technology (Caltech),Materials Science,"$26,000",1.10,2007-2008,1st,"$26,000",,,,"Pay constant through your whole tenure; I was training new students who were making more than me. RAs could actually get paid less if the course wasn't considered ""full."" So, I got a pay cut leading a graduate level mechanics course with six students versus an easy undergrad one with 12."
University of Central Florida (UCF),Biomedical Sciences,"$22,900",0.99,2022-2023,3rd,"$25,000",,,"$2,100",
Pennsylvania State University (Penn State),Plant Pathology,"$20,000",0.89,2022-2023,3rd,"$20,000",,,,
University of California - Riverside (UCR),Plant Pathology,"$30,000",1.24,2022-2023,4th,"$30,000",,,,
University of Wisconsin - Madison (UW),History,"$45,000",1.97,2023-2024,6th and up,,"$45,000",,,
University of Tennessee - Knoxville,Department of Agriculture and Resource Economics,"$20,000",0.94,2022-2023,,"$20,000",,,,
North Carolina State University (NCSU),Dept. of Applied Ecology/MS in Integrative Biology,"$26,600",1.17,2022-2023,2nd,"$26,600",,,,
University of Pennsylvania,"The Wharton School, Finance Department","$43,000",1.78,2022-2023,2nd,"$43,000",,,,
,,"$11,700",,2022-2023,,,"$11,700",,,
Stanford University (SU),Bioengineering ,"$50,000",1.74,2022-2023,2nd,"$50,000",,,,
Cornell University (CU),Plant Breeding and Genetics,"$39,914",1.65,2022-2023,5th,"$40,000",,,$86,
Mississippi State University (MSU),Computer Engineering,"$24,000",1.10,2022-2023,5th,"$24,000",,,,
University of Southern California (USC),Electrical Engineering,"$38,000",1.47,2022-2023,2nd,"$38,000",,,,
Uninassau Brasil,Estetica e Cosmeticos,,,2018-2019,4th,,,,,"Hello,...I am an international student. I would be very happy to be part of the university! I love my area of education and I intend to be able to perform all the procedures in my area that I am unable to due to more specializations!
Sorry about my English!
This is my professional instagram 
Emanuelle_esteticista
https://instagram.com/emanuelle_esteticista?igshid=YmMyMTA2M2Y="
University of California - Los Angeles (UCLA),Psychology,"$29,850",1.15,2022-2023,2nd,"$30,000",,,$150,
Rutgers the State University of New Jersey - Newark,economics,"$6,400",0.24,2022-2023,1st,"$7,000",,,$600,
University of North Carolina - Chapel Hill (UNC),Health Behavior,"$16,600",0.75,2022-2023,3rd,,"$17,000",,$400,
University of Virginia (UVA),Mathematics,"$26,000",1.14,2022-2023,2nd,"$26,000",,,,
Pennsylvania State University (Penn State),Psychology,"$36,000",1.60,2022-2023,1st,,"$33,000","$3,000",,10 month salary
University of Miami (UM),Marketing,"$36,500",1.53,2022-2023,3rd,"$36,500",,,,
University of Massachusetts - Amherst (UMass),,,0.00,2022-2023,,"$2,000",,,"$2,000",0
Indiana University- Purdue University - Indianapolis (IUPUI),biostatistics,"$21,440",1.04,2022-2023,1st,"$22,500",,,"$1,060",
George Washington University (GW),Public Policy ,"$5,000",0.16,2022-2023,,,"$5,000",,,
Princeton University,History,"$32,000",1.26,2023-2024,1st,,"$32,000",,,
University of California - San Diego (UCSD),Literature,"$30,000",1.13,2022-2023,1st,"$30,000",,,,
Boston University (BU),Materials Science and Engineering,"$40,165",1.40,2022-2023,3rd,"$40,165",,,,"Role: Doctoral Research Fellow

Before Qualifying Exam: $38,253
After Qualifying Exam, before Prospectus: $40,165
After Prospectus: $42,078

Basic Student Health Insurance is covered (through Aetna, but everything requires a referral from student health services at BU), you can upgrade to their plus plan for a little over $1000 a year. "
University of Maryland - College Park,Information Studies,"$25,700",,2022-2023,,"$28,000",,,"$2,300",
University of California - Berkeley,Sociology,"$29,500",1.06,2019-2020,2nd,,"$26,000","$3,500",,"$26k for being a graduate student instructor during fall and spring semesters ($20k base pay from University, $6k from the Department). In the summer, $2000 of summer funding plus $1500 of research and conference travel funds available if you apply."
University of California - Berkeley,Sociology,"$29,000",1.04,2022-2023,5th,,"$29,000",,,"This is 9-month funding while working as a teaching assistant for both semesters. Original funding package promised $26, but Sociology Department is giving higher stipends to TAs for 2022-23 year only."
National Institutes of Health (NIH),NIAID-GPP,"$45,000",1.49,2022-2023,2nd,"$45,000",,,,Stipend paid once a month. Total funding includes tuition and health/dental insurance. 
,physics,"$50,000",,2022-2023,1st,"$50,000",,,,
Indiana University,Luddy School of informatics and Engineering,"$26,954",1.25,2022-2023,1st,"$27,654",,,$700,12 months pay 
University of Houston (UH),Political Science,"$24,000",1.10,2022-2023,,"$24,000",,,,
University of Toledo,Physics,"$22,824",1.22,2022-2023,1st,,"$18,000","$6,000","$1,176",
University of Pittsburgh,Higher Education,"$25,200",1.22,2022-2023,1st,,"$20,250","$5,000",$50,"Summer pay not guarunteed, but same rate as GSR, Medical and Dental covered by program"
Stanford University (SU),Geological Science,"$51,000",1.78,2022-2023,1st,"$52,000",,,"$1,000",
Dartmouth College,Earth Sciences,"$22,700",0.92,2022-2023,3rd,"$23,000",,,$300,
Arizona State University (ASU),Bioengineering,"$23,000",1.04,2022-2023,1st,,"$23,000",,,
Montana State University (MSU),Microbiology,"$25,000",1.19,2022-2023,1st,"$25,000",,,,"Master's Program, health care included"
University of Illinois - Urbana- Champaign (UIUC),Mathematics,"$22,109",1.01,2022-2023,4th,,"$21,681","$1,550","$1,122","50% TA appointment during the year. 25% RA appointment during the summer, but this is not guaranteed and needs to be specifically applied for. Pay increases don't match inflation, despite the best efforts of the union."
University of Montana (UM),College of Forestry and Conservation/ Systems Ecology Program,"$20,100",0.92,2021-2022,5th,"$22,000",,,"$1,900",My stipend does not include health care or other benefits. My university is not unionized
Florida State University (FSU),Philosophy,"$18,750",0.80,2022-2023,2nd,,"$16,250","$2,500",,We do have fees but I cannot seem to find the exact amount. I remember it being between $1k and $2k every semester. The summer money is not guaranteed but it seems like most people who want a paid summer TA position get it. The stipend is overall quite low but Tallahassee is extremely cheap to live in so it is not horrible.
University of Massachusetts - Amherst (UMass),Economics,"$23,300",1.02,2022-2023,1st,,"$24,800",,"$1,500",
University of Akron,Psychology,"$10,100",0.51,2022-2023,2nd,,"$10,900",,$800,
University of California - San Diego (UCSD),Marine biology,"$33,000",1.25,2020-2021,4th,"$33,000",,,,
Colorado School of Mines,Geology and Geological Engineering ,"$30,000",1.34,2022-2023,2nd,"$30,000",,,,Fees and insurance covered by RA contract 
Ohio State University (OSU),BSGP,"$30,179",1.50,2020-2021,3rd,"$30,179",,,,
University of North Carolina - Chapel Hill (UNC),Earth Marine and Environmental Sciences,"$27,000",1.21,2022-2023,3rd,"$27,000",,,,
Northwestern University (NU),Mechanical Engineering,"$30,268",1.25,2022-2023,1st,"$30,268",,,,Tuition and health insurance fully covered
Purdue University - West Lafayette,Educational Studies,"$18,653",0.88,2022-2023,4th,,"$18,880",,$227,
Pennsylvania State University (Penn State),Mathematics,"$33,000",1.47,2022-2023,4th,"$33,000",,,,
Marquette University,Theology,"$20,000",0.93,2022-2023,2nd,,"$20,000",,,
University at Buffalo - SUNY,Department of Geology,"$15,600",0.74,2022-2023,2nd,,"$17,000",,"$1,400","I am a funded master's student, but to my knowledge the PhD stipend in our depart. is not really different."
Texas A&amp;M; University - College Station,Chemical Engineering,"$30,000",,2022-2023,1st,"$30,000",,,,
Binghamton University - SUNY,Mechanical engineering,"$23,000",1.11,2023-2024,1st,,"$23,000",,,
Texas A&amp;M; University - College Station,Finance,"$29,300",,2022-2023,2nd,"$30,300",,,"$1,000",Hope can raise about 10% next year
New York University (NYU),global public health,"$32,000",1.08,2022-2023,,,"$32,000",,,
Rice University,civil & Environmental Engineering,"$25,050",1.15,2022-2023,4th,"$26,000",,,$950,
University of Washington (UW),Aquatic and Fishery Sciences,"$31,250",1.34,2022-2023,3rd,"$32,000",,,$750,
,Providence ,"$80,000",,2022-2023,1st,"$80,000",,,,
SUNY College of Environmental Science and Forestry,GPES,"$24,280",1.14,2022-2023,3rd,"$25,000",,,$720,"RA paid through the Research Foundation. Baseline at ESF is 16k for MS students, 18k for PhD"
University of Maryland - Baltimore County (UMBC),Mechanical engineering ,"$29,935",1.16,2021-2022,4th,"$30,385",,,$450,
Iowa State University (ISU),Psychology,"$25,127",1.18,2022-2023,1st,,"$24,100","$2,000",$973,"Base is $19,100 for 10 months."
University of Nebraska Medical Center,Pharmaceutical science ,"$25,000",1.24,2022-2023,4th,"$25,000",,,,
University of Minnesota - Twin Cities (UM),Chemistry ,"$40,000",1.75,2022-2023,1st,,"$35,000","$7,000","$2,000",
Texas Tech University (TTU),Biology ,"$15,100",0.74,2022-2023,4th,,"$15,750","$1,750","$2,400",
Iowa State University (ISU),Mechanical ,"$24,600",1.16,2022-2023,5th,"$26,400",,,"$1,800",
,English,"$1,000",,2022-2023,1st,,"$1,000",,,
Seton Hall University,English,$400,0.01,2022-2023,1st,,"$1,000",,$600,
Tulane University (TU),French,"$26,126",1.13,2022-2023,,"$26,126",,,,
Vanderbilt University,History,"$32,500",1.42,2022-2023,4th,"$32,500",,,,
Northwestern University (NU),Chemical and Biological Engineering,"$35,196",1.45,2022-2023,6th and up,"$35,196",,,,Health insurance subsidized. Dental and Vision coverage available for purchase.
,Public ,"$18,000",,2022-2023,3rd,"$18,000",,,,
Southern Illinois University - Carbondale (SIUC),Public ,"$18,000",0.90,2022-2023,3rd,"$18,000",,,,
Duke University (DU),Computer Science,"$33,660",1.51,2022-2023,3rd,"$33,660",,,,
Washington State University (WSU),Anthropology ,"$15,000",0.79,2022-2023,5th,,"$16,000",,"$1,000",
Iowa State University (ISU),Chemistry,"$25,376",1.20,2021-2022,4th,"$26,819",,,"$1,443",
Iowa State University (ISU),Electrical Engineering,"$24,825",1.17,2022-2023,3rd,"$26,625",,,"$1,800","Tuition is covered except for fees of $691.45/semester. The LOI is signed multiple times per year, so 9+3 month contract."
Duquesne University (DU),English ,"$16,300",0.79,2022-2023,1st,"$17,000",,,$700,
Iowa State University (ISU),English,"$18,725",0.88,2022-2023,1st,,"$19,350",,$625,
Iowa State University (ISU),"Biophysics, Biochemistry and Molecular Biology (BBMB)","$25,300",1.19,2022-2023,1st,"$26,000",,,$700,
Iowa State University (ISU),GDCB/BCB,"$24,400",1.15,2022-2023,3rd,"$26,500",,,"$2,100",
Iowa State University (ISU),"Biophysics, Biochemistry and Molecular Biology (BBMB)","$25,300",1.19,2022-2023,1st,"$26,000",,,$700,
University of Maryland - College Park (UMD),PhD in Information Studies,"$26,800",0.89,2022-2023,2nd,,"$28,000",,"$1,200","Required fees is split across both semesters, $600 in the fall and $600 in the spring"
CUNY Graduate School and University Center,Anthropology,"$25,115",0.84,2022-2023,5th,"$27,115",,,"$2,000",
San Diego State University (SDSU),Geography,"$20,452",0.77,2020-2021,1st,"$22,884",,,"$2,432",
University of Maryland - College Park (UMD),Electrical and Computer Engineering,"$36,233",1.20,2022-2023,2nd,"$37,033",,,$800,
Rutgers the State University of New Jersey - Newark,physics,"$30,160",1.11,2023-2024,1st,"$30,160",,,,
University of California - Irvine (UCI),Chemistry,"$33,428",1.14,2022-2023,1st,"$34,000",,,$572,"$2800 incentive, fee reimbursement in summer"
Virginia Tech,Electrical & Computer Engineering,"$26,664",1.27,2022-2023,1st,"$29,664",,,"$3,000","International student, need to pay CFE and comprehensive fees for each semester. Tuition waived, health insurance subsidy"
Virginia Tech,Electrical & Computer Engineering,"$26,664",1.27,2022-2023,1st,"$29,664",,,"$3,000","International student, need to pay CFE and comprehensive fees for each semester. Tuition waived, health insurance subsidy"
Virginia Tech,Electrical & Computer Engineering,"$26,664",1.27,2022-2023,1st,"$29,664",,,"$3,000","International student, need to pay CFE and comprehensive fees for each semester. Tuition waived, health insurance subsidy"
University of Nebraska - Lincoln (NU),Civil Engineering - PhD,"$28,800",1.48,2022-2023,,"$28,800",,,,Plus tuition waiver. 
University of Oklahoma (OU),Spanish,"$19,444",0.97,2022-2023,2nd,,"$20,444",,"$1,000",
George Washington University (GW),English,"$27,500",0.89,2022-2023,1st,,"$27,500",,,
University of Michigan - Ann Arbor (UM),Pharmaceutical Sciences,"$36,084",1.56,2022-2023,1st,"$36,084",,,,
University of Illinois - Urbana- Champaign (UIUC),Chemical and Biomolecular Engineering,"$31,500",1.43,2022-2023,3rd,"$33,000",,,"$1,500",
Georgia Institute of Technology (Georgia Tech),Electrical Engineering ,"$21,800",0.94,2022-2023,1st,"$24,000",,,"$2,200",
University of Texas - San Antonio (UTSA),Business/Marketing ,"$25,000",1.20,2016-2017,1st,"$25,000",,,,
Ohio State University (OSU),Electrical and Computer Engineering,"$28,535",1.42,2022-2023,2nd,"$29,400",,,$865,Calculated by (monthly pay-monthly fees)x12. Domestic student. 
University of Hawaii - Manoa (UH),Atmospheric Sciences,"$28,100",0.92,2022-2023,3rd,"$29,000",,,$900,
Cornell University (CU),Public Policy ,"$40,500",1.67,2022-2023,2nd,,"$34,000","$6,500",,
University of South Florida (USF),Industrial & Management Systems Engineering,"$18,631",,2022-2023,3rd,,"$19,500",,$869,
Louisiana State University - Baton Rouge,Physics & Astronomy,"$23,774",1.09,2022-2023,3rd,"$25,000",,,"$1,226",
University of Colorado - Denver (UCD),"Cell Biology, Stem Cells, and Development Program","$34,000",1.52,2022-2023,5th,"$34,000",,,,
,Chemical and Biomolecular Engineerinf,"$40,000",,2022-2023,4th,"$40,000",,,,
University of Iowa (UI),Biology ,"$26,400",1.19,2022-2023,3rd,"$27,000",,,$600,
Rowan University,Clinical Psychology,"$-2,490",,2022-2023,1st,,"$9,000",,"$11,490","This is the base funding provided by the department for year 1 students. As you can see, it does not cover the tuition and mandatory fees.  As such it does not cover anyone's living expenses. 

The tuition and fees are broken down as follows:
tuition: 1000 per semester (including summer) = 3000 total
fees: 172.30 per credit hour at 35 credit hours = 6,030.50
mandatory health insurance = 2450 (if you have health insurance through a parent or spouse or purchase ACA coverage this number may be different)

The program tells us that ""Any and all work outside of program requirements and activity needs to be formally requested in
writing to the DCT prior to any student engaging in such work. Only part-time work will be considered (i.e., 20-hours of work/week or less). The DCT will discuss this proposal with the
student's mentor and the Clinical Training Committee (CTC), and a formal decision regarding this work will be provided to the student in writing. If a students work outside of the program is approved, they will be required to continually update the DCT about their work situation, at minimum, at the end of each semester or
until the work situation is concluded. Failure to maintain satisfactory progress in the program, or failure to file semester reports, may result in the CTC re-evaluating the decision to allow students to work outside of the program"""
University of Kansas (KU),Therapeutic Science ,"$33,700",1.65,2022-2023,1st,"$34,000",,,$300,34000 plus tuition 
Indiana University- Purdue University - Indianapolis (IUPUI),Applied Social and Organizational Psychology,"$18,000",0.87,2020-2021,1st,,"$18,000",,,
University of North Carolina - Charlotte (UNCC),Organizational Science,"$19,900",0.87,2022-2023,3rd,,"$21,500",,"$1,600",There is an additional $2000 in summer money for the first year.
Purdue University,Industrial-Organizational Psychology,"$16,500",,2020-2021,1st,,"$16,500",,,
University of Guelph,Department of Physics,"$11,516",,2022-2023,2nd,"$17,994",,,"$6,478",
University of Illinois - Urbana- Champaign (UIUC),,"$25,630",1.17,2021-2022,3rd,"$26,752",,,"$1,122","RA, ~35 hours/week. COL is relatively low. University apartment rent is ~$750/month. Livable, but not comfortable."
University of Minnesota - Twin Cities (UM),Department of Mechanical Engineering,"$26,500",1.16,2022-2023,1st,"$28,700",,,"$2,200",The fee is approximate. The university has bi-weekly pay system. You get payed around 1k per paycheck
University of Minnesota - Twin Cities (UM),Department of Mechanical Engineering,"$26,500",1.16,2022-2023,1st,"$28,700",,,"$2,200",The fee is approximate. The university has bi-weekly pay system. You get payed around 1k per paycheck
University of California - Santa Barbara (UCSB),Environmental Science and Management ,"$25,724",0.98,2022-2023,6th and up,"$26,624",,,$900,"this is without taxes taken out - it includes a fellowship for two quarters, a 50% TA position, and a 25% TA position "
University of California - Santa Barbara (UCSB),Environmental Science and Management ,"$25,724",0.98,2022-2023,6th and up,"$26,624",,,$900,
Baylor University (BU),Physics,"$21,000",1.15,2014-2015,1st,"$21,000",,,,
Boston College (BC),Lynch School of Education,"$21,850",0.78,2022-2023,2nd,"$22,000",,,$150,
Loyola University Chicago (LUC),English ,"$27,000",1.11,2022-2023,4th,,"$28,000",,"$1,000",
University of Illinois - Chicago (UIC),Graduate Education in Medical Science,"$35,000",1.44,2022-2023,1st,"$35,000",,,,"Free health care, dental, and public transportation."
Worcester Polytechnic Institute (WPI),BME,"$32,970",1.46,2022-2023,4th,"$33,000",,,$30,
University of Toledo,Chemistry and Biochemistry,"$22,000",1.17,2022-2023,1st,"$24,000",,,"$2,000",
Georgia State University (GSU),Neuroscience PhD,"$24,500",1.05,2022-2023,2nd,"$27,000",,,"$2,500",
University of Central Florida (UCF),Industrial and Organizational Psychology,"$19,000",0.82,2022-2023,3rd,"$21,000",,,"$2,000",
University of Northern Colorado (UNC),Sport and Exercise Science,"$16,000",0.77,2022-2023,4th,,"$16,000",,,
Tulane University (TU),Chemistry,"$28,000",1.22,2022-2023,1st,"$28,000",,,,
University of Maryland - Baltimore (UMB),Physical therapy and rehab science,"$30,000",1.17,2022-2023,3rd,"$30,000",,,,Healthcare included but not vision/dental
Tulane University (TU),Neuroscience,"$32,000",1.39,2022-2023,,"$32,000",,,,Fully funded health insurance as a benefit
Florida International University (FIU),Computer Science,"$16,000",0.67,2022-2023,1st,,"$18,000",,"$2,000",
Tufts University (TU),Computer Science,"$42,000",1.50,2022-2023,3rd,"$42,000",,,,
Tulane University (TU),Mathematics,"$21,855",0.95,2022-2023,1st,,"$21,855",,,Cover half of Health Insurance
University of Georgia (UGA),Mathematics ,"$17,700",0.84,2022-2023,4th,,"$21,700",,"$4,000",
Louisiana State University - Baton Rouge,Biological Sciences,"$20,416",0.94,2022-2023,3rd,"$21,400",,,$984,
Clemson University (CU),Biological Sciences,"$21,500",1.03,2022-2023,3rd,,"$24,000",,"$2,500",
Georgia Institute of Technology (Georgia Tech),Civil Engineering,"$25,500",1.09,2022-2023,3rd,"$28,000",,,"$2,500",
Johns Hopkins University (JHU),Biomedical Engineering ,"$35,469",1.38,2022-2023,1st,"$35,608",,,$139,Fees are taxes
Johns Hopkins University (JHU),Biomedical Engineering ,"$35,469",1.38,2022-2023,1st,"$35,608",,,$139,Fees are taxes
University of Nevada - Las Vegas (UNLV),Chemistry,"$25,000",1.10,2022-2023,4th,"$25,000",,,,
University of Tennessee - Knoxville,Teacher education,"$24,000",1.13,2022-2023,2nd,"$24,000",,,,Grant funded
University of Washington (UW),Computer Science and Engineering ,"$29,861",1.28,2022-2023,2nd,,"$30,114",,$253,
University of Edinburgh,Geoscience,"$23,000",,2022-2023,3rd,"$23,000",,,,Stipend is tax-free. Amount shown includes earnings from TA roles
University of Minnesota - Twin Cities (UM),Computer Science,"$27,258",1.19,2022-2023,2nd,"$29,172",,,"$1,914",
,Psychology,"$19,500",,2022-2023,3rd,,"$20,000",,$500,
University of Arizona (U of A),Psychology,"$18,000",0.87,2022-2023,3rd,,"$18,500",,$500,
Tulane University (TU),Chemical engineering ,"$29,560",1.28,2022-2023,1st,"$31,000",,,"$1,440",Fully funded health insurance as a benefit
University of Southern California (USC),Policy,"$36,000",1.39,2022-2023,2nd,"$36,000",,,,
Oregon State University (OSU),Nuclear science and engineering ,"$26,200",1.25,2022-2023,1st,"$27,000",,,$800,"Phd student on fellowship; additional 6k per year scholarship not included, tuition completely covered"
Arizona State University (ASU),Astrophysics,"$31,279",1.41,2022-2023,1st,,"$21,879","$10,000",$600,Summer pay varies slightly 
Columbia University (CU),Biomedical Engineering,"$42,000",1.41,2022-2023,3rd,"$42,000",,,,
Northwestern University (NU),english,"$34,176",1.41,2022-2023,2nd,"$34,176",,,,
Florida International University (FIU),Economics,"$20,305",0.85,2022-2023,,"$20,800",,,$495,
University of Pittsburgh,chemistry,"$27,950",1.35,2022-2023,3rd,"$28,000",,,$50,
University of Pittsburgh,Bioengineering,"$33,000",1.59,2022-2023,4th,"$33,000",,,,
University of Georgia (UGA),Integrated life sciences,"$31,375",1.48,2022-2023,,"$31,800",,,$425,
University of Minnesota - Twin Cities (UM),Pharmacology,"$33,700",1.47,2022-2023,1st,"$34,000",,,$300,
University at Albany - SUNY,Biomedical Sciences,"$28,600",1.26,2022-2023,1st,"$28,600",,,,
University of Hawaii - Manoa (UH),Physics and Astronomy ,"$24,784",0.81,2022-2023,3rd,"$25,686",,,$902,
Rensselaer Polytechnic Institute (RPI),Computer Science,"$28,773",1.26,2022-2023,1st,"$31,773",,,"$3,000",
University of Alabama - Birmingham (UAB),GBS,"$33,000",1.53,2021-2022,3rd,"$33,000",,,,
Princeton University,Politics,"$50,050",1.97,2022-2023,3rd,"$50,200",,,$150,"TA Stipend, regular RA work @ $25/hr can add $700-$1000 per month depending on hours "
University of Michigan - Ann Arbor (UM),Anthropology ,"$22,450",0.97,2015-2016,6th and up,,"$22,500",,$50,Full health and dental benefits for me and my dependents w/o premium.
University of Houston,Biology ,"$22,000",,2022-2023,1st,"$22,000",,,,
North Carolina State University (NCSU),College of education,"$18,000",0.79,2022-2023,2nd,,"$20,000",,"$2,000",
Ohio State University (OSU),Pharmaceutical sciences ,"$29,400",1.47,2022-2023,1st,"$30,000",,,$600,Tuition waived. TA <20 hours per week.
Temple University (TU),Psychology ,"$24,000",1.00,2022-2023,5th,"$24,000",,,,
Harvard University (HU),mechanical engineering,"$25,000",0.87,2021-2022,,"$25,000",,,,
Dartmouth College,Materials Science,"$35,196",1.42,2022-2023,2nd,"$35,196",,,,yearly stipend
Tufts University (TU),Graduate School of Biomedical Sciences,"$39,380",1.41,2022-2023,6th and up,"$39,500",,,$120,
University of California - Santa Barbara (UCSB),Political Science,"$22,246",0.85,2022-2023,4th,,"$23,246",,"$1,000",
Rutgers the State University of New Jersey - New Brunswick,Earth and Planetary Sciences,"$26,960",1.05,2022-2023,3rd,,"$27,000",,$40,"health insurance is extra, but tuition is covered. cost of living here is not cheap"
North Carolina State University (NCSU),Education Ph.D.,"$22,311",0.98,2022-2023,2nd,"$24,911",,,"$2,600","Fees are brutal. I can't afford to fix my car, to have dental insurance (not included in support), or get a haircut more than once a year."
University of North Carolina - Chapel Hill (UNC),Geography,"$18,000",0.81,2022-2023,3rd,,"$18,000",,,
Lehigh University,Electrical engineering ,"$22,000",0.98,2019-2020,4th,"$22,000",,,,
Georgia Institute of Technology (Georgia Tech),Electrical and Computer Engineering,"$29,000",1.25,2022-2023,2nd,"$30,600",,,"$1,600",
University of Southern California (USC),Gerontology ,"$37,850",1.46,2022-2023,1st,"$38,000",,,$150,
Georgia Institute of Technology (Georgia Tech),Electrical and Computer Engineering,"$2,550",0.11,2022-2023,2nd,"$2,550",,,,
University of Utah,Physics and astronomy,"$30,000",1.35,2022-2023,1st,"$30,000",,,,
Texas A&amp;M; University - College Station,Veterinary Physiology and Pharamacology,"$24,000",,2022-2023,2nd,"$24,000",,,,
Baylor University (BU),Environmental Science,"$26,000",1.31,2022-2023,,"$26,000",,,,
Colorado State University (CSU),Mechanical Engineering ,$-300,-0.01,2022-2023,2nd,"$2,100",,,"$2,400",
Central Michigan University (CMU),Applied Experimental Psychology,"$14,050",0.71,2021-2022,,,"$14,050",,,This was how much students were paid before Central Michigan implemented budget cuts.
Central Michigan University (CMU),Applied Experimental Psychology,"$6,913",0.35,2022-2023,,,"$7,025",,$112,Pay was cut in half for this program compared to last academic year. This is a 10 hour assistantship.
Texas A&amp;M; University - College Station,Animal Science,"$17,400",,2022-2023,3rd,"$17,400",,,,
Texas A&amp;M; University - College Station,Materials Science and Engineering,"$27,000",,2022-2023,2nd,"$27,000",,,,
University of Toronto,Theatre,"$19,000",,2022-2023,3rd,,"$19,000",,,The stipend includes TA-ship. 
Washington University in St. Louis (Wash U),Public Health,"$34,000",1.64,2022-2023,1st,"$34,000",,,,
Northwestern University (NU),DGP Biomedical,"$35,700",1.47,2022-2023,1st,"$35,700",,,,
Clark University,geography ,"$19,000",0.84,2022-2023,1st,,"$19,000",,,
Clark University,geography ,"$19,000",0.84,2022-2023,1st,,"$19,000",,,
University of California - Riverside (UCR),political science,"$21,000",0.87,2022-2023,1st,,"$21,000",,,
University of California - Irvine (UCI), History,"$28,666",0.98,2022-2023,1st,,"$26,000","$3,000",$334,"base offer is 21k, another 5k from recruitment fellowship"
University of California - San Francisco (UCSF),Nursing ,"$35,000",1.17,2022-2023,3rd,"$45,000",,,"$10,000",
George Mason University (GMU),Psychology,"$26,000",0.86,2022-2023,4th,,"$20,000","$6,000",,"Parking on campus costs between $200-400 per semester and dental is not covered in the Health care subsidy, so that is an additional $400 per year of coverage."
University of Kansas (KU),chemistry ,"$20,000",0.98,2022-2023,1st,"$30,000",,,"$10,000",
University of Kansas (KU),chemistry ,"$-99,500",-4.86,2022-2023,1st,$500,,,"$100,000",
Michigan State University (MSU),Physics/PhD,"$29,328",1.43,2022-2023,1st,"$29,328",,,,
Brown University,Sociology,"$40,000",1.76,2022-2023,6th and up,"$40,000",,,,12 months approximate stipend
,Biology ,"$14,453",,2020-2021,2nd,,"$15,453",,"$1,000",
