University,Department,Overall Pay,LW Ratio,Academic Year,Program Year,12 M Gross Pay,9 M Gross Pay,3 M Gross Pay,Fees,Comments
Stony Brook University - SUNY,Psychology,"$30,000",1.07,2025-2026,1st,,"$30,000",,,"starting 2026 fall, $30,000. Summer funding is easy to obtain (most obtaining $3,000 to $5,000 in additional summer funding). "
Georgia Institute of Technology (Georgia Tech),Electrical and Computer Engineering,"$35,000",1.50,2025-2026,1st,"$37,800",,,"$2,800",
University of Michigan - Ann Arbor (UM),Economics,"$45,000",1.95,2025-2026,1st,"$45,000",,,,
Emory University,Computer Science and Informatics,"$41,000",1.76,2025-2026,1st,"$42,000",,,"$1,000",
University of Central Florida (UCF),,"$19,600",0.85,2025-2026,,,"$19,600",,,
University of Kentucky (UK),chemistry,"$28,202",1.38,2025-2026,1st,,"$23,502","$5,000",$300,
Pennsylvania State University (Penn State),college of arts,"$33,000",1.47,2025-2026,,,"$33,000",,,
Utah State University (USU),ECE,"$19,200",0.93,2025-2026,,"$20,400",,,"$1,200",
University of Oregon (UO),Economics,"$25,300",1.21,2025-2026,1st,,"$25,300",,,
University of Florida (UF),Economics,"$30,000",1.32,2025-2026,1st,"$30,000",,,,
,English ,"$18,300",,2025-2026,1st,"$20,000",,,"$1,700",
University of California - Berkeley,Psychology,"$37,960",1.37,2025-2026,1st,,"$37,960",,,"2026/2027, Fall 2026 start; $37,960 for the academic year, summer not covered (although I've been told summer positions are easy to obtain).
$2000 one time relocation grant."
university of texas at austin,electrical and computer engineering,"$37,784",,2025-2026,1st,,"$37,784",,,
Harvard University (HU),,"$51,500",1.80,2025-2026,1st,"$51,500",,,,
University of Texas - Austin (UT),Education,"$43,745",1.92,2025-2026,1st,"$43,745",,,,
Morgan State University (MSU),,"$11,000",0.43,2025-2026,1st,,"$21,000",,"$10,000",
Colorado School of Mines,Applied Mathematics and Statistics,"$28,500",1.27,2025-2026,,,"$28,500",,,
Iowa State University (ISU),Computer Science,"$18,664",0.88,2025-2026,1st,,"$20,264",,"$1,600","$20264 stipend for 9 months, before taxes. 
Required semester fees about $800.
Department pays for 9 months of health insurance. You are responsible for paying during the three summer months."
University of Florida (UF),Biomedical Engineering,"$29,630",1.30,2025-2026,6th and up,"$31,490",,,"$1,860","Fees include student fees
All graduate assistants receive low cost GatorGradCare"
Rice University,English,"$35,255",1.61,2025-2026,2nd,"$36,000",,,$745,
Rice University,English,"$33,265",1.52,2024-2025,1st,"$34,000",,,$735,
University of Texas - Austin (UT),Neuroscience,"$40,000",1.75,2025-2026,1st,"$48,000",,,"$8,000",
University of California - Berkeley,Plant & Microbiology,"$52,212",1.88,2025-2026,1st,"$52,212",,,,
Yale University (YU),Political Science,"$52,046",2.11,2025-2026,1st,"$52,046",,,,Accidentally entered for 2022-2023
Rensselaer Polytechnic Institute (RPI),Biochemistry and Biophysics,"$37,783",1.66,2025-2026,1st,,"$28,337","$9,446",,
University of Southern Mississippi (USM),Marine Science (Hydrography),"$24,600",1.15,2025-2026,1st,"$24,600",,,,
Auburn University (AU),Computer science ,"$21,500",0.99,2024-2025,,"$25,000",,,"$3,500",
Stony Brook University - SUNY,Economics ,"$45,000",1.61,2025-2026,1st,"$45,000",,,,
University of Florida (UF),Anthropology,"$30,000",1.32,2025-2026,1st,"$30,000",,,,
University of Alabama (UA),Political Science,"$17,100",0.81,2025-2026,1st,,"$17,100",,,
University of Rochester (UR),Mechanical Engineering,"$34,490",1.61,2025-2026,1st,"$34,500",,,$10,
Georgia Institute of Technology (Georgia Tech),Computer Science,"$30,000",1.29,2025-2026,1st,"$30,000",,,,
Purdue University - West Lafayette,Food Science,"$27,500",1.30,2025-2026,2nd,"$28,000",,,$500,
